,distance,width,movement_time
5945,210,10,1136
2870,120,14,631
3477,210,10,1128
2492,60,10,553
5628,60,14,423
1076,160,18,687
1815,120,8,504
1155,40,6,536
4363,75,6,711
4128,75,20,570
3041,160,20,640
2261,210,8,993
3749,160,14,821
830,120,20,816
94,60,18,458
1033,75,8,768
401,210,10,1129
163,40,14,527
2095,75,6,833
1004,210,6,1039
890,120,6,975
4888,40,14,491
1770,60,14,430
6056,210,6,1273
5126,210,10,616
958,60,10,773
5374,75,18,408
914,40,20,455
4159,160,8,744
4529,75,8,750
743,60,20,648
259,210,14,846
4475,40,14,314
5268,120,8,815
2602,75,6,779
4548,160,10,1041
2844,60,6,861
1889,210,10,695
2630,75,8,625
3006,210,6,1331
4870,160,18,697
3932,160,6,848
4246,40,6,690
1195,60,6,696
3976,210,14,934
6008,120,8,1073
4545,160,10,871
4697,60,8,601
716,75,10,1400
2053,210,14,1048
726,210,8,1401
1991,160,8,1353
5331,40,14,370
4960,210,10,1078
1503,75,20,503
5246,60,6,449
1107,210,10,880
4058,75,10,649
3014,210,6,2034
2543,120,14,872
3273,60,6,774
1288,40,8,592
1482,75,18,519
296,60,10,710
3693,60,18,670
5303,210,14,675
3711,160,6,1081
4792,40,8,724
5770,40,6,464
5851,160,6,1320
1398,40,14,470
3924,160,6,936
5181,75,10,565
3923,160,6,856
2695,75,10,549
2317,120,8,799
3446,40,14,489
4585,40,6,474
5452,210,14,744
5914,40,8,552
4294,160,14,736
4866,160,18,671
4431,210,20,838
277,210,18,759
5732,40,18,293
2109,210,10,801
602,160,10,941
2766,75,8,818
4100,60,18,478
1704,160,18,672
5761,75,14,418
4943,40,20,419
2111,210,10,771
5975,75,6,815
5208,160,14,870
2580,120,8,1008
5433,60,10,455
4546,160,10,872
5527,60,18,377
5907,210,14,968
3110,120,14,728
191,160,8,1208
1081,210,20,816
4343,120,6,1152
4587,40,6,432
2525,160,6,906
2829,40,8,785
3852,210,14,804
5347,75,6,904
4694,60,8,686
1505,75,20,489
1593,210,8,780
1585,120,20,640
3844,160,18,777
2902,60,20,703
2146,60,20,391
1994,160,8,1613
4368,75,6,1002
2202,60,10,799
3226,160,14,914
3338,75,10,1175
4981,160,10,633
3251,210,6,966
6119,160,14,847
1807,210,6,632
2647,120,6,745
3428,160,10,1085
2770,75,8,836
284,40,10,551
332,75,18,587
627,60,6,891
637,210,6,1034
5337,120,20,462
1307,210,20,871
5026,75,8,767
3148,75,20,471
467,120,10,830
5977,40,18,518
122,160,18,754
2955,40,14,495
4152,120,8,552
2677,75,20,490
5194,40,8,442
3301,40,20,455
1749,75,6,706
3953,160,10,816
4878,120,6,816
5669,210,6,761
4397,40,8,513
3686,40,20,750
1102,210,10,926
3029,40,20,385
3762,75,10,630
5076,60,10,503
5421,75,10,701
1013,160,6,856
3591,60,8,594
5586,160,14,456
1430,210,10,847
199,75,10,623
4387,210,10,809
3238,40,6,689
1092,120,14,671
3142,75,20,760
5932,60,8,576
2612,60,20,432
32,160,10,1344
1784,60,6,511
3535,210,8,1079
2975,75,6,1247
621,210,18,921
62,120,8,893
5073,60,14,525
3120,120,10,1262
2527,160,6,984
2833,120,18,736
3508,60,10,1002
2500,60,10,678
3208,60,18,432
1445,60,10,655
4938,60,20,433
688,120,18,960
4364,75,6,975
3425,160,10,744
1068,160,18,852
6069,75,20,559
4160,160,8,745
2472,40,10,546
6084,60,10,640
5062,160,6,1143
3191,210,20,697
6087,60,10,502
2325,120,18,463
4414,120,20,607
5097,60,8,647
4803,210,18,775
1110,210,14,783
4195,120,18,616
6074,75,18,727
4821,75,20,466
5472,60,6,480
4842,160,8,1019
5838,75,14,498
3227,160,14,624
1603,60,10,602
168,40,14,422
2372,210,20,822
3565,40,8,735
2485,120,10,672
5809,40,14,746
887,120,6,983
4758,75,8,729
1984,160,10,799
731,210,8,1209
2673,210,6,1136
745,160,14,842
2665,40,18,341
4218,210,18,647
2398,40,8,528
1483,75,18,538
5059,160,6,736
6082,60,10,840
5831,75,14,600
4225,210,18,649
2744,160,6,1056
5787,60,8,584
4269,40,18,583
652,40,14,844
3553,210,10,1295
1774,160,8,746
3210,60,18,397
1054,75,18,600
4011,75,14,527
5138,160,18,614
551,120,14,975
2797,60,14,539
1036,75,8,723
5773,40,6,489
1527,120,10,722
2377,210,20,836
5583,210,10,638
3888,210,6,1023
5774,40,6,599
5237,160,8,792
4918,75,10,576
378,40,8,881
1682,160,10,696
3929,160,6,914
3875,160,20,698
669,160,20,761
2243,75,18,414
4695,60,8,673
5853,160,6,1216
3842,160,18,806
1758,40,18,246
2774,120,10,658
5951,210,10,1352
2265,210,8,1272
2,210,8,1024
1166,75,14,670
4151,120,8,776
3124,120,10,848
1548,210,18,608
3927,160,6,856
3782,210,18,1097
2735,210,8,1363
3184,210,20,766
5998,160,8,983
5602,40,14,344
4755,75,8,600
845,160,8,1168
1761,40,18,319
1659,75,14,458
797,40,18,582
5321,120,14,472
3174,40,10,494
3375,160,20,801
1819,120,8,585
2561,160,18,736
5047,120,10,760
5395,40,18,320
5788,210,8,985
2834,120,18,886
3013,210,6,1498
1069,160,18,850
1291,40,8,641
382,40,8,855
2743,160,6,1113
1285,40,8,626
4097,60,18,480
6058,210,6,1486
2734,210,8,1044
979,210,8,1280
2762,75,8,672
5734,40,18,256
6124,160,14,641
2217,75,10,911
4018,75,14,666
1834,160,6,618
1648,210,14,805
4679,75,18,622
1742,75,6,585
6148,60,18,482
1473,120,6,609
4945,40,20,399
4920,210,6,917
2237,40,10,593
530,75,14,599
2406,160,10,896
4729,40,10,535
2686,75,20,423
1942,40,20,359
6034,120,6,1000
4574,210,8,1320
112,160,20,766
4419,40,20,412
5738,40,18,247
2706,60,6,848
44,75,20,585
2692,75,10,672
4320,120,14,600
3483,210,10,769
592,120,6,967
1075,160,18,753
4614,60,6,578
2905,60,10,831
3858,210,10,1207
836,60,20,593
2208,60,10,490
5368,75,18,392
4811,210,14,803
5266,60,20,447
6055,210,6,1000
412,75,8,680
4808,210,18,951
3457,75,14,449
4438,60,10,656
5252,60,6,609
4580,210,8,1008
4038,60,6,760
4205,120,18,489
1210,60,18,486
821,75,6,1143
3194,60,10,548
165,40,14,472
3610,40,10,534
2497,60,10,576
1993,160,8,1105
2037,160,18,757
5698,40,20,256
6101,40,10,493
30,160,10,1032
3349,210,18,711
4339,120,6,1319
45,75,20,636
1778,160,8,632
1070,160,18,794
3527,210,20,992
1079,210,20,842
4219,210,18,624
1820,120,8,527
3188,210,20,674
2524,160,6,870
473,120,20,614
911,40,20,521
1201,60,6,720
4627,40,10,441
1048,40,10,465
2055,60,6,729
5470,120,14,520
1801,120,14,506
5983,40,18,480
3066,75,14,688
4183,60,10,416
2542,120,18,741
5938,120,10,774
771,120,10,1184
5203,160,14,624
5859,160,6,1304
3146,75,20,750
3843,160,18,800
1422,210,18,868
2968,60,8,542
876,120,8,1083
3581,60,20,504
264,210,14,918
1848,60,8,583
5682,160,20,523
2312,120,8,794
4304,60,18,495
4314,60,14,544
4351,120,6,896
4681,60,18,498
4402,40,8,617
3628,60,6,1208
4418,40,20,324
3732,60,14,529
5182,75,10,514
5193,40,8,470
5302,210,14,703
1234,75,6,699
370,120,14,702
4285,60,20,646
3250,210,6,904
4856,60,6,601
2348,75,8,697
4019,120,20,512
2097,75,6,800
4745,120,14,605
2093,75,6,530
1727,60,18,391
4606,60,6,984
1028,160,20,625
3774,75,20,623
3040,160,20,722
600,160,10,904
1592,120,20,536
2719,60,8,814
2877,120,8,882
3229,160,14,703
3086,60,18,496
5403,120,18,575
1992,160,8,1711
1617,160,20,664
5417,160,10,713
5964,160,20,743
3444,40,14,615
496,160,8,1047
4077,210,20,632
2575,120,8,1007
6163,160,10,952
198,75,10,625
4814,210,14,980
1224,120,8,799
3485,210,10,945
4065,60,14,441
4435,210,20,752
4313,60,14,510
5540,40,10,357
1355,60,14,474
2320,120,18,481
2741,160,6,1186
1324,60,8,608
4422,40,20,322
1118,210,14,768
3144,75,20,667
3026,40,20,462
5989,160,8,1041
1031,160,20,589
4838,75,6,680
2088,120,20,713
2236,40,10,376
4083,210,20,664
562,160,6,1512
1790,60,6,462
3815,160,10,925
3871,160,20,714
4514,210,6,1264
6042,75,8,762
1864,120,6,672
3267,60,6,564
5529,60,18,400
5329,40,14,335
1383,160,10,800
1133,40,20,481
5962,160,20,715
3002,120,6,979
3165,75,6,1399
3734,60,14,600
3526,210,20,1004
190,160,8,1091
5265,60,20,394
2861,160,10,1203
1121,75,14,431
4809,210,18,784
895,40,14,698
6158,60,20,424
3951,160,10,889
5048,120,10,641
1518,160,8,769
4816,210,14,821
1683,160,10,688
3622,60,6,765
5102,60,8,536
2688,75,10,569
4035,60,6,704
2289,40,6,627
3615,40,10,652
2462,210,18,887
372,120,14,776
2803,40,6,655
1175,40,18,488
1491,210,8,1025
1386,160,10,753
3894,60,20,513
390,40,8,552
4563,75,10,624
4684,60,18,576
4525,75,8,616
5081,60,10,569
5794,210,8,694
3443,40,14,512
3138,40,8,598
3260,210,6,1770
2760,160,14,865
2193,160,6,1048
3176,40,10,521
606,160,18,631
425,60,10,1047
3221,160,6,1216
839,60,20,743
468,120,10,666
3157,40,18,463
3379,160,20,567
4022,120,20,681
2646,120,6,721
2641,160,20,823
4296,160,14,1056
4360,210,14,1216
925,40,6,760
1203,60,6,530
4680,60,18,551
5535,40,10,491
1194,60,20,552
5150,210,8,886
2428,75,14,488
1000,210,6,1288
5928,60,8,600
4329,120,10,674
5799,120,14,1264
1156,40,6,672
778,120,18,790
1218,120,8,933
1973,160,10,713
1534,60,20,360
4854,60,6,739
1671,210,20,608
2505,40,14,447
5217,40,6,432
4372,75,6,720
650,40,14,504
3114,120,14,728
4096,60,18,407
1530,120,10,797
448,60,8,760
956,60,8,769
4416,40,20,464
4207,75,18,552
5483,75,8,760
3281,120,8,688
1239,160,20,718
5860,160,6,1392
3903,60,8,753
4678,75,18,563
2544,120,14,846
1002,210,6,1313
1226,120,8,664
3627,60,6,928
4192,60,10,466
1895,75,10,591
3348,210,18,818
5608,160,6,757
